timestamp,prediction,packet_len,protocol,note
2025-11-11T10:52:47.109716,attaque,1490,IP,live
2025-11-11T10:52:47.369634,attaque,1490,IP,live
2025-11-11T10:52:47.414738,attaque,1490,IP,live
2025-11-11T10:52:47.441062,attaque,1490,IP,live
2025-11-11T10:52:47.524805,attaque,1393,IP,live
2025-11-11T10:52:47.713220,attaque,1490,IP,live
2025-11-11T10:52:47.750118,attaque,1490,IP,live
2025-11-11T10:52:47.841297,attaque,1426,IP,live
2025-11-11T10:52:47.874947,attaque,1490,IP,live
2025-11-11T10:52:47.890637,attaque,1490,IP,live
2025-11-11T10:52:47.906157,attaque,1490,IP,live
2025-11-11T10:52:48.182640,attaque,1490,IP,live
2025-11-11T10:52:48.220156,attaque,1490,IP,live
2025-11-11T10:52:48.257512,attaque,1490,IP,live
2025-11-11T10:53:10.211687,attaque,1466,IP,live
2025-11-11T10:53:10.230445,attaque,1191,IP,live
2025-11-11T10:53:10.606862,attaque,1316,IP,live
2025-11-11T10:53:11.437713,attaque,1490,IP,live
2025-11-11T10:53:11.474853,attaque,1490,IP,live
2025-11-11T10:53:11.511961,attaque,1490,IP,live
2025-11-11T10:53:11.550483,attaque,1277,IP,live
2025-11-11T10:53:11.649197,attaque,1173,IP,live
2025-11-11T10:53:12.131062,attaque,1490,IP,live
2025-11-11T10:53:12.149275,attaque,1490,IP,live
2025-11-11T10:53:12.190679,attaque,1490,IP,live
2025-11-11T10:53:12.206913,attaque,1490,IP,live
2025-11-11T10:53:12.237807,attaque,1490,IP,live
2025-11-11T10:53:12.251389,attaque,1490,IP,live
2025-11-11T10:53:12.269205,attaque,1490,IP,live
2025-11-11T10:53:12.286737,attaque,1490,IP,live
2025-11-11T10:53:12.335753,attaque,1490,IP,live
2025-11-11T10:53:12.353161,attaque,1490,IP,live
2025-11-11T10:53:12.386620,attaque,1490,IP,live
2025-11-11T10:53:12.403591,attaque,1490,IP,live
2025-11-11T10:53:12.426290,attaque,1490,IP,live
2025-11-11T10:53:12.449627,attaque,1490,IP,live
2025-11-11T10:53:12.474868,attaque,1490,IP,live
2025-11-11T10:53:12.521866,attaque,1490,IP,live
2025-11-11T10:53:12.570862,attaque,1490,IP,live
2025-11-11T10:53:12.762566,attaque,1490,IP,live
2025-11-11T10:53:12.805857,attaque,1490,IP,live
2025-11-11T10:53:12.852047,attaque,1490,IP,live
2025-11-11T10:53:12.899277,attaque,1490,IP,live
2025-11-11T10:53:12.945155,attaque,1490,IP,live
2025-11-11T10:53:12.990936,attaque,1490,IP,live
2025-11-11T10:53:13.030575,attaque,1490,IP,live
2025-11-11T10:53:13.073830,attaque,1490,IP,live
2025-11-11T10:53:13.113303,attaque,1490,IP,live
2025-11-11T10:53:13.160165,attaque,1490,IP,live
2025-11-11T10:53:13.179213,attaque,1490,IP,live
2025-11-11T10:53:13.203526,attaque,1490,IP,live
2025-11-11T10:53:13.226539,attaque,1490,IP,live
2025-11-11T10:53:13.247488,attaque,1490,IP,live
2025-11-11T10:53:13.264295,attaque,1490,IP,live
2025-11-11T10:53:13.308915,attaque,1490,IP,live
2025-11-11T10:53:13.347125,attaque,1490,IP,live
2025-11-11T10:53:13.366781,attaque,1490,IP,live
2025-11-11T10:53:13.387120,attaque,1490,IP,live
2025-11-11T10:53:13.401589,attaque,1490,IP,live
2025-11-11T10:53:13.422143,attaque,1042,IP,live
2025-11-11T10:53:13.823691,attaque,1514,IP,live
2025-11-11T10:53:13.839740,attaque,969,IP,live
2025-11-11T10:53:13.930077,attaque,1514,IP,live
2025-11-11T10:53:14.004657,attaque,1514,IPv6,live
2025-11-11T10:53:14.170824,attaque,1490,IP,live
2025-11-11T10:53:14.227930,attaque,1101,IPv6,live
2025-11-11T10:53:14.380698,attaque,1056,IP,live
2025-11-11T10:53:14.456438,attaque,1490,IP,live
2025-11-11T10:53:14.482495,attaque,1490,IP,live
2025-11-11T10:53:14.530456,attaque,1490,IP,live
2025-11-11T10:53:14.564748,attaque,1490,IP,live
2025-11-11T10:53:14.590998,attaque,1490,IP,live
2025-11-11T10:53:14.617159,attaque,1490,IP,live
2025-11-11T10:53:14.668195,attaque,1121,IP,live
2025-11-11T10:53:14.708067,attaque,1490,IP,live
2025-11-11T10:53:14.746447,attaque,1490,IP,live
2025-11-11T10:53:14.775980,attaque,1490,IP,live
2025-11-11T10:53:14.849692,attaque,1490,IP,live
2025-11-11T10:53:14.918852,attaque,1490,IP,live
2025-11-11T10:53:14.930966,attaque,1490,IP,live
2025-11-11T10:53:14.944414,attaque,1490,IP,live
2025-11-11T10:53:14.957148,attaque,1036,IP,live
2025-11-11T10:53:14.995423,attaque,1490,IP,live
2025-11-11T10:53:15.021658,attaque,1490,IP,live
2025-11-11T10:53:15.165396,attaque,1039,IP,live
2025-11-11T10:53:19.177649,attaque,1038,IP,live
2025-11-11T10:53:21.597129,attaque,1490,IP,live
2025-11-11T10:53:21.792840,attaque,20,LLC,live
2025-11-11T10:53:22.114502,attaque,1490,IP,live
2025-11-11T10:53:22.152841,attaque,1490,IP,live
2025-11-11T10:53:22.184650,attaque,1490,IP,live
2025-11-11T10:53:22.226700,attaque,1490,IP,live
2025-11-11T10:53:22.258907,attaque,1490,IP,live
2025-11-11T10:53:22.297893,attaque,1490,IP,live
2025-11-11T10:53:22.334371,attaque,1490,IP,live
2025-11-11T10:53:22.372593,attaque,1490,IP,live
2025-11-11T10:53:22.405137,attaque,1490,IP,live
2025-11-11T10:53:22.439454,attaque,1490,IP,live
2025-11-11T10:53:22.474829,attaque,1490,IP,live
2025-11-11T10:53:22.519302,attaque,1490,IP,live
2025-11-11T10:53:22.551760,attaque,1490,IP,live
2025-11-11T10:53:22.594738,attaque,1490,IP,live
2025-11-11T10:53:22.636054,attaque,1490,IP,live
2025-11-11T10:53:22.707238,attaque,1490,IP,live
2025-11-11T10:53:22.724474,attaque,1490,IP,live
2025-11-11T10:53:22.744012,attaque,1490,IP,live
2025-11-11T10:53:22.764384,attaque,1490,IP,live
2025-11-11T10:53:22.794241,attaque,1490,IP,live
2025-11-11T10:53:22.807889,attaque,1490,IP,live
2025-11-11T10:53:22.839969,attaque,1490,IP,live
2025-11-11T10:53:22.856695,attaque,1490,IP,live
2025-11-11T10:53:22.885560,attaque,1490,IP,live
2025-11-11T10:53:22.899699,attaque,1490,IP,live
2025-11-11T10:53:23.009521,attaque,1175,IP,live
2025-11-11T10:53:23.288927,attaque,1490,IP,live
2025-11-11T10:53:23.317227,attaque,1490,IP,live
2025-11-11T10:53:23.345349,attaque,1490,IP,live
2025-11-11T10:53:23.362287,attaque,1054,IP,live
2025-11-11T10:53:23.496892,attaque,1490,IP,live
2025-11-11T10:53:23.547253,attaque,1490,IP,live
2025-11-11T10:53:23.567680,attaque,1490,IP,live
2025-11-11T10:53:23.583489,attaque,1490,IP,live
2025-11-11T10:53:23.597037,attaque,1042,IP,live
2025-11-11T10:53:23.769516,attaque,1490,IP,live
2025-11-11T10:53:23.803349,attaque,1490,IP,live
2025-11-11T10:53:23.840651,attaque,1490,IP,live
2025-11-11T10:53:23.855864,attaque,1490,IP,live
2025-11-11T10:53:23.870516,attaque,1077,IP,live
2025-11-11T10:53:23.913630,attaque,1490,IP,live
2025-11-11T10:53:23.940246,attaque,1490,IP,live
2025-11-11T10:53:23.966145,attaque,1314,IP,live
2025-11-11T10:53:24.000298,attaque,1490,IP,live
2025-11-11T10:53:24.054414,attaque,1490,IP,live
2025-11-11T10:53:24.067885,attaque,1490,IP,live
2025-11-11T10:53:24.186737,attaque,1490,IP,live
2025-11-11T10:53:24.220785,attaque,1490,IP,live
2025-11-11T10:53:24.256466,attaque,1314,IP,live
2025-11-11T10:53:24.291375,attaque,1490,IP,live
2025-11-11T10:53:28.254304,attaque,1021,IP,live
2025-11-11T10:53:28.549215,attaque,1038,IP,live
2025-11-11T10:53:29.402402,attaque,1157,IP,live
2025-11-11T10:53:29.763086,attaque,1490,IP,live
2025-11-11T10:53:29.806119,attaque,1490,IP,live
2025-11-11T10:53:29.841425,attaque,1490,IP,live
2025-11-11T10:53:29.871865,attaque,1104,IP,live
2025-11-11T10:53:29.911572,attaque,1490,IP,live
2025-11-11T10:53:29.950518,attaque,1490,IP,live
2025-11-11T10:53:29.979329,attaque,1490,IP,live
2025-11-11T10:53:30.007827,attaque,1140,IP,live
2025-11-11T10:53:33.572499,attaque,1038,IP,live
2025-11-11T10:53:38.344267,attaque,1084,IP,live
2025-11-11T10:53:38.364304,attaque,1411,IP,live
2025-11-11T10:53:38.669253,attaque,1490,IP,live
2025-11-11T10:53:38.703781,attaque,1490,IP,live
2025-11-11T10:53:38.737679,attaque,1490,IP,live
2025-11-11T10:53:38.778446,attaque,1138,IP,live
2025-11-11T10:53:38.803886,attaque,1490,IP,live
2025-11-11T10:53:38.821899,attaque,1490,IP,live
2025-11-11T10:53:38.882864,attaque,1490,IP,live
2025-11-11T10:53:38.898723,attaque,1152,IP,live
2025-11-11T10:53:38.945595,attaque,1161,IP,live
